,gene_id,database,kegg_id
872,Synpcc7942_0308,KEGG_pathway,-
875,Synpcc7942_0309,KEGG_pathway,map00190
876,Synpcc7942_0309,KEGG_pathway,map01100
881,Synpcc7942_0310,KEGG_pathway,map00900
882,Synpcc7942_0310,KEGG_pathway,map01100
883,Synpcc7942_0310,KEGG_pathway,map01110
884,Synpcc7942_0310,KEGG_pathway,map01130
885,Synpcc7942_0311,KEGG_pathway,-
886,Synpcc7942_0313,KEGG_pathway,-
896,Synpcc7942_0314,KEGG_pathway,map00020
897,Synpcc7942_0314,KEGG_pathway,map00190
898,Synpcc7942_0314,KEGG_pathway,map00650
899,Synpcc7942_0314,KEGG_pathway,map00720
900,Synpcc7942_0314,KEGG_pathway,map01100
901,Synpcc7942_0314,KEGG_pathway,map01110
902,Synpcc7942_0314,KEGG_pathway,map01120
903,Synpcc7942_0314,KEGG_pathway,map01130
904,Synpcc7942_0314,KEGG_pathway,map01200
910,Synpcc7942_0315,KEGG_pathway,map00230
911,Synpcc7942_0315,KEGG_pathway,map00250
912,Synpcc7942_0315,KEGG_pathway,map01100
913,Synpcc7942_0315,KEGG_pathway,map01110
914,Synpcc7942_0315,KEGG_pathway,map01130
915,Synpcc7942_0317,KEGG_pathway,-
916,Synpcc7942_0319,KEGG_pathway,-
920,Synpcc7942_0320,KEGG_pathway,map00052
921,Synpcc7942_0320,KEGG_pathway,map00520
922,Synpcc7942_0320,KEGG_pathway,map01100
924,Synpcc7942_0321,KEGG_pathway,map02020
925,Synpcc7942_0322,KEGG_pathway,-
926,Synpcc7942_0323,KEGG_pathway,-
928,Synpcc7942_0324,KEGG_pathway,map04112
931,Synpcc7942_0325,KEGG_pathway,map00196
932,Synpcc7942_0325,KEGG_pathway,map01100
935,Synpcc7942_0326,KEGG_pathway,map00196
