"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Synpcc7942_0505",3881.55351175954,3.24724194102076,1.0280614265438,3.15860692481922,0.00158525144879539,0.00941618176823453
"Synpcc7942_0506",711.446582535512,2.30878140603451,0.837809082898044,2.75573690135736,0.00585600802345963,0.0242892276805083
"Synpcc7942_0507",911.491771338683,2.54536647964495,0.649469331771534,3.91914807232244,8.88625113652176e-05,0.00108713907252768
"Synpcc7942_0512",826.244282793071,1.35846905712244,0.373854529266571,3.63368356078897,0.000279403504686218,0.00259640817769388
"Synpcc7942_0522",136.806043721254,-1.21264027552449,0.404724008304106,-2.99621532363685,0.00273353337156417,0.0140152875726057
"Synpcc7942_0533",161.592318098148,-1.54783659054542,0.459220304375553,-3.37057524634101,0.00075011417089751,0.00537783466070876
"Synpcc7942_0535",1036.59760915676,3.61219286668784,1.2131054902844,2.97764118258256,0.00290475828048239,0.0145416278694901
"Synpcc7942_0540",1086.0817781507,-1.04898183758921,0.399366179077665,-2.62661660537162,0.00862384395044978,0.0315790082977305
"Synpcc7942_0552",612.269422963931,1.04532847418795,0.386892006541774,2.70186113052994,0.00689525548496616,0.0270834261832176
"Synpcc7942_0559",824.281112849195,1.05648403787105,0.33640808642193,3.14048347977577,0.00168669220134204,0.00980926367058019
"Synpcc7942_0565",932.046472842016,1.65942148910465,0.625462398850752,2.65311150942685,0.00797535186950393,0.0299780094724271
"Synpcc7942_0569",1578.50783477461,3.07836076383146,0.78258312278183,3.93358951172992,8.36866536774972e-05,0.00102853596939118
"Synpcc7942_0573",128.311173029303,-2.98959438089373,0.746676230353039,-4.00386976223979,6.23146791728377e-05,0.000799006006509414
"Synpcc7942_0575",1356.22041279092,3.02238099194189,0.84121124011169,3.59289183004806,0.000327028368170734,0.00290238597121769
"Synpcc7942_0581",112.047272056661,1.65073591845253,0.600311420417521,2.74979929134853,0.00596317779099648,0.0244673771824425
"Synpcc7942_0584",692.780658868055,1.38346303465244,0.5446065451368,2.54029821530134,0.0110757984840738,0.0373440639153284
"Synpcc7942_0587",8615.63182013617,-1.84673333089906,0.277859127454741,-6.64629356543221,3.00565498980695e-11,5.01005116113446e-09
"Synpcc7942_0592",643.196528975982,-1.31434386294881,0.288224855158827,-4.56013365753811,5.11210724891759e-06,0.000118556435068376
"Synpcc7942_0593",767.555599727287,2.15460000791002,0.632645983995554,3.40569617513792,0.000659955796171022,0.00487562910910835
"Synpcc7942_0598",4764.36241856119,3.40186407043019,0.839369977653627,4.05287794536058,5.05914000940413e-05,0.000695501361086639
"Synpcc7942_0601",123.509409688824,-1.41001277353662,0.582708451947146,-2.41975685924067,0.0155308877499465,0.0476718262384384
"Synpcc7942_0608",522.335097903327,1.73557124925907,0.543096532639043,3.19569569119782,0.00139494151122521,0.00867204897537911
"Synpcc7942_0610",1090.3073538439,1.14719090284431,0.320798550606181,3.57604764945658,0.000348828097762671,0.00305024438273129
"Synpcc7942_0612",862.915032492048,1.5642460718717,0.482544529407491,3.24166160124625,0.00118835037994181,0.00771126633407497
"Synpcc7942_0618",2588.33429143052,2.97292232913184,1.04071047206243,2.85662766825076,0.00428167773561609,0.019127696014888
"Synpcc7942_0630",763.166133846142,1.523791200605,0.352460828821172,4.32329233776536,1.53717826935629e-05,0.000278888057440355
"Synpcc7942_0631",1661.36607573878,3.26234302288974,1.22123202614989,2.67135397126354,0.00755459351206287,0.029115752740855
"Synpcc7942_0632",3359.422661821,3.32599855585861,1.23159040689116,2.70057198988279,0.00692203546892226,0.0271486302876701
"Synpcc7942_0633",5740.28627105304,3.19186822589784,1.22820986848222,2.59879708493325,0.00935510551155112,0.0333076220147816
"Synpcc7942_0638",322.421856806661,1.86729815288623,0.451516909670639,4.13561067789984,3.54011939481055e-05,0.000548924327090682
"Synpcc7942_0639",1879.70847144212,2.18619075876307,0.857216810214008,2.5503358458606,0.0107619191520444,0.0365631062146527
"Synpcc7942_0649",7904.55497942883,3.19188331898023,0.909583241923412,3.50917120266052,0.000449505458117335,0.00363282138423919
"Synpcc7942_0653",1206.34677273804,2.14393297085004,0.842115175081965,2.54589043671059,0.0108999393547363,0.0368910383998498
"Synpcc7942_0654",941.634504268391,2.33983166738143,0.846935212248158,2.76270443540826,0.00573246501741733,0.0239631413815862
"Synpcc7942_0680",706.524141965033,1.17910880408583,0.464490488531846,2.53849935186561,0.0111329009105407,0.0373755871745569
"Synpcc7942_0685",1978.18154688931,2.06646755921962,0.612738042672872,3.37251388897828,0.000744853296644956,0.00536898308689756
"Synpcc7942_0686",1201.75032512065,1.23456876485458,0.339404787700948,3.63745241549852,0.000275348041027008,0.00256766862034626
"Synpcc7942_0690",234.200594402216,2.93382640575583,0.77640374301958,3.77873810132037,0.00015762509394631,0.00168154450221923
"Synpcc7942_0698",490.855873579997,1.12803791462831,0.319008252180506,3.53607753692224,0.000406115477972705,0.00341450589784338
"Synpcc7942_0699",25.9682024681477,6.99206823697484,2.35805266142298,2.96518748345316,0.00302498516342946,0.0149956048900862
"Synpcc7942_0708",2988.26788460915,1.86224001150905,0.552483630001393,3.3706700260139,0.000749856168102626,0.00537783466070876
"Synpcc7942_0712",4821.47332388113,1.91182749741266,0.789692316367463,2.42097771218916,0.0154788262827621,0.0476147978040676
"Synpcc7942_0715",1225.72602109444,2.53389328719846,0.807298017330504,3.1387334451499,0.0016967971976123,0.00981639506731455
"Synpcc7942_0723",462.804932662827,-1.31411973593968,0.210833153809775,-6.23298429204995,4.57632075149867e-10,4.58783811774647e-08
"Synpcc7942_0746",93.7295088842609,-1.62315849187063,0.506429495032403,-3.20510260123529,0.00135014343549576,0.0084526585503925
"Synpcc7942_0755",370.698632435947,-2.0645864701479,0.743208692087287,-2.77793638870066,0.00547053266621131,0.022940111038971
"Synpcc7942_0757",1444.88956299325,-1.6058113214849,0.372725504914558,-4.30829471101799,1.64518077165263e-05,0.000294476316644132
"Synpcc7942_0758",765.793053814221,-1.77054472013519,0.41411163804048,-4.27552514223742,1.90687278651996e-05,0.000330235696210956
"Synpcc7942_0763",357.964498952976,-2.00953909203178,0.393271373926428,-5.10980260772227,3.22495570922281e-07,1.26484659948489e-05
"Synpcc7942_0764",253.764907696073,-1.79141920622944,0.529805607671898,-3.38127641589411,0.000721499230734985,0.00521473834246668
"Synpcc7942_0765",778.943263552694,-1.80283998445233,0.741025538278149,-2.43289858625038,0.0149784954842806,0.0463849879014325
"Synpcc7942_0768",634.888300726255,-1.67840304110641,0.33803954837668,-4.96510851811975,6.8662665670612e-07,2.31801682713319e-05
"Synpcc7942_0781",2492.69010240724,-3.8016564002894,0.544792721166555,-6.9781703253101,2.99048980543314e-12,6.13510485468475e-10
"Synpcc7942_0784",63.5069999255094,1.17690947276176,0.405552625500791,2.90198952924659,0.0037080093386944,0.0175341505430815
"Synpcc7942_0788",619.161276925862,1.87950404184394,0.482131899364635,3.89831920335658,9.68626801551772e-05,0.00114814563543937
"Synpcc7942_0789",262.571949389323,2.23188972547277,0.594370506271896,3.75504790685525,0.000173308325710213,0.00179849534890715
"Synpcc7942_0790",2159.10862583836,4.27249160691926,1.18117266869548,3.61716091148463,0.000297852150747078,0.00272979960839332
"Synpcc7942_0801",9908.61110229113,4.05728190982229,1.19585218082647,3.39279551007572,0.000691832639541216,0.00505511684837376
"Synpcc7942_0812",671.152381155273,1.32209383796541,0.501515053070839,2.63619971099584,0.00838403708661862,0.0309698433656674
"Synpcc7942_0815",647.307609761454,-1.16155472421773,0.230281591011147,-5.04406244162828,4.55750464299081e-07,1.64254930849412e-05
"Synpcc7942_0816",3137.67784899385,-1.25473368909752,0.449903330344971,-2.78889620162499,0.00528880126630321,0.0223184066095422
"Synpcc7942_0826",1288.89448543815,-1.23123074150405,0.352093984401613,-3.49688093534612,0.00047073187991723,0.00376612491090569
"Synpcc7942_0829",182.958256104789,1.23496154366635,0.498096120866881,2.47936390573979,0.0131616946903732,0.0420890164738914
"Synpcc7942_0854",4255.15696837115,-1.03937294621674,0.232457032583632,-4.47124758784316,7.776460561447e-06,0.000165918562539033
"Synpcc7942_0855",3891.53689578553,-1.73293938619527,0.334327050887674,-5.18336575396496,2.17917096661618e-07,9.05201436407385e-06
"Synpcc7942_0856",1019.24351050774,-1.98622552382842,0.400396111106652,-4.96065138679471,7.02571817940131e-07,2.34219879805791e-05
"Synpcc7942_0857",852.430529217587,-1.74046338684188,0.378203968742788,-4.6019173004119,4.18619428563065e-06,0.000100581803241234
"Synpcc7942_0858",18012.8795012987,-1.50392459502099,0.385015352348701,-3.90614188719134,9.378145811272e-05,0.00112159259545571
"Synpcc7942_0859",11126.9333951013,-1.71638494229547,0.448043523683199,-3.83084421840473,0.000127704342649128,0.00142208444942538
"Synpcc7942_0860",1983.5154001112,-1.5962702852903,0.331965136941406,-4.80854796981903,1.52030549350811e-06,4.31346250126184e-05
"Synpcc7942_0869",780.71927041982,-1.88123356001368,0.516776429810223,-3.64032384508041,0.000272295346239598,0.0025607562366169
"Synpcc7942_0870",217.112072063986,-1.49784079868012,0.313720713688931,-4.77444023720187,1.80207786228732e-06,5.00639756116696e-05
"Synpcc7942_0871",541.583643375276,-1.30935280400089,0.237187140362298,-5.52033639766845,3.38351287257644e-08,1.67307396958822e-06
"Synpcc7942_0872",942.260941258057,-1.97865475344027,0.670404380919682,-2.95143470083816,0.00316301418032982,0.0154501077269956
"Synpcc7942_0873",3641.84724745071,-1.45489720771411,0.287199206618307,-5.06581207115833,4.06662961731153e-07,1.56101520118658e-05
"Synpcc7942_0874",3594.09640787668,-1.42296198942049,0.546502703966614,-2.60376019934096,0.00922072465166342,0.0330089565717937
"Synpcc7942_0878",2724.62487260872,1.48915136927333,0.558184812454261,2.6678464480711,0.00763391385066728,0.0292523681605311
"Synpcc7942_0883",2224.7693287748,4.65806472216342,1.27970418373128,3.63995428113842,0.000272686453393026,0.0025607562366169
"Synpcc7942_0886",1699.66075255809,3.48626126225508,0.91577670476161,3.80689009026781,0.00014072524791243,0.0015133638555744
"Synpcc7942_0887",2422.64009817527,3.80284925827161,1.27657203262218,2.97895391806467,0.00289234273374255,0.0145416278694901
"Synpcc7942_0888",53.4127158817526,-1.50450240469584,0.322519911739317,-4.66483572000939,3.0886369045287e-06,7.77112700413023e-05
"Synpcc7942_0900",2382.20808183095,-6.19707077634055,1.22639164380118,-5.05309279271738,4.34712562088436e-07,1.58818959327378e-05
"Synpcc7942_0905",9845.19319397523,-4.40348185447464,1.24770145786362,-3.52927523384842,0.000416699506045193,0.00346211084929137
"Synpcc7942_0906",623.825328079072,-1.05211229995165,0.370454247378482,-2.84006002737697,0.00451050453568483,0.019881409193349
