Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRX2356930	SRX2356930_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12099681.0	0.0	20-50	54.0	3.769565944957614	49.47411489608693	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356931	SRX2356931_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12865353.0	0.0	20-50	54.0	3.7723208408660183	49.47540180203372	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356932	SRX2356932_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13789883.0	0.0	20-50	54.0	3.763028792881623	49.390966188763166	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356933	SRX2356933_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16297408.0	0.0	20-50	55.0	5.603696691048777	49.470990172179526	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356934	SRX2356934_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15464914.0	0.0	20-50	55.0	6.922728740797359	49.420043978259436	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX2356935	SRX2356935_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10715395.0	0.0	20-50	55.0	6.836172670522338	49.47398644660323	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn
SRX259777	SRX259777_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36164634.0	0.0	20-101	55.0	30.50134893481853	89.30411047433799	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass
SRX259778	SRX259778_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24359231.0	0.0	20-101	55.0	32.653876268219946	89.7358322190056	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass
SRX259779	SRX259779_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26006755.0	0.0	20-101	55.0	28.014431150425796	89.89289351939524	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259780	SRX259780_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28488625.0	0.0	20-101	55.0	29.53381542102047	89.70419941292359	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259781	SRX259781_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14784598.0	0.0	20-101	55.0	33.06025065668777	91.43583856659478	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259782	SRX259782_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14645289.0	0.0	20-101	55.0	33.58881070922745	91.17068048298671	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259783	SRX259783_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27350230.0	0.0	20-101	55.0	25.261039634451958	91.10021275872269	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX259784	SRX259784_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18909243.0	0.0	20-101	55.0	32.83411524286047	90.72202848099208	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass
SRX259785	SRX259785_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23295119.0	0.0	20-101	54.0	22.510707838945656	90.44529671644949	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX259786	SRX259786_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61005765.0	0.0	20-101	55.0	22.044122694243402	90.37117383906259	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX259787	SRX259787_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40375154.0	0.0	20-101	55.0	27.47735018472085	91.11546868650953	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	fail
SRX259788	SRX259788_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51421520.0	0.0	20-101	55.0	23.346377726131003	90.52219611555628	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
