Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX3312469	2.6	12610356	3760473	12610356	630517800	660660	624125707	1.0137847020337887
SRX3312470	2.6	25812370	7618232	25812370	1290618500	1288110	1277761519	0.9961875643344645
SRX3312471	2.6	17215541	5102636	17215541	860777050	1116026	850769408	1.1626288131171714
SRX3312472	2.6	17557964	5292934	17557964	877898200	1349112	864260753	1.5534200890262675
SRX3312473	2.6	14221207	4276872	14221207	711060350	1416827	700413444	1.4973280397367115
SRX3312474	2.6	11745261	3544948	11745261	587263050	605565	572607361	2.4955918816959453
SRX3312475	2.6	13422390	4022675	13422390	671119500	730604	663098519	1.1951643485251136
SRX3312476	2.6	11363112	3329286	11363112	568155600	541948	560961055	1.266298352071158
SRX3312477	2.6	5718671	1780596	5718671	285933550	316454	280690345	1.8337145116409042
SRX3312478	2.6	7335142	2365108	7335142	366757100	251088	359795337	1.8981944725814444
SRX3312479	2.6	8656998	2839751	8656998	432849900	307571	423653781	2.1245514900199813
SRX3312480	2.6	8903099	2887307	8903099	445154950	565831	433160517	2.69443999218699
SRX3312481	2.6	9926005	3217759	9926005	496300250	290224	489762689	1.3172592598935824
SRX3312482	2.6	7046709	2156134	7046709	352335450	855109	343037289	2.639008081644921
SRX3312483	2.6	9259704	3067665	9259704	462985200	292758	455293109	1.6614118550657773
SRX3312484	2.6	9547792	3121778	9547792	477389600	373945	467969385	1.9732761249930872
SRX3312485	2.6	11252905	3601671	11252905	562645250	363952	550243077	2.204261566235563
SRX3312486	2.6	10164707	3153514	10164707	508235350	567287	498643024	1.8873787508090494
SRX3312487	2.6	8480856	2848666	8480856	424042800	373406	411766149	2.895144310904465
SRX3312488	2.6	9936081	3002443	9936081	496804050	369843	489995509	1.3704680950165362
SRX3312489	2.6	7914507	2345815	7914507	395725350	338956	391178406	1.1490150934227488
SRX3312490	2.6	9304771	2749624	9304771	465238550	344873	459200121	1.2979210342737075
SRX3312491	2.6	3426366	1026454	3426366	171318300	168041	168164267	1.8410368302744073
SRX3312492	2.6	22980793	6780783	22980793	1149039650	1151874	1132904730	1.4042091584916152
SRX3312493	2.6	10513016	3087917	10513016	525650800	368681	518170803	1.4229973587027738
SRX3312494	2.6	6192125	1855393	6192125	309606250	248047	304183922	1.7513625774673476
SRX359366	2.6	13660580	3367657	13660580	696689580	683947	688728888	1.1426454806457704
SRX359367	2.6	12018370	2842674	12018370	612936870	548624	607587921	0.8726753539887395
SRX359368	2.6	11935064	2729841	11935064	608688264	577570	604029800	0.7653283750514368
SRX359369	2.6	14202263	3246331	14202263	724315413	653459	718745309	0.7690163566904519
SRX359370	2.6	11456135	2694949	11456135	584262885	516131	579040700	0.8938074168445597
SRX359371	2.6	12173405	2795442	12173405	620843655	578648	615880438	0.7994310580495503
SRX359372	2.6	9586421	2226385	9586421	488907471	472079	484878440	0.8240886545994303
SRX359373	2.6	11591498	2657904	11591498	591166398	564680	586406556	0.805161121488505
SRX359374	2.6	12656905	2894637	12656905	645502155	587037	640542044	0.7684112224226424
SRX359375	2.6	11791911	2643180	11791911	601387461	515481	597073996	0.7172522341632261
SRX359376	2.6	10505596	2383470	10505596	535785396	492799	531473627	0.8047567239029411
SRX359377	2.6	11572325	2568566	11572325	590188575	560501	585650792	0.7688700175194005
SRX359378	2.6	10314218	2452388	10314218	526025118	494284	521115834	0.9332793876204216
SRX359379	2.6	9545489	2229358	9545489	486819939	467060	482720050	0.8421777071049672
SRX359380	2.6	10394961	2476568	10394961	530143011	593287	525018301	0.9666655777152178
SRX359381	2.6	9956083	2307553	9956083	507760233	495438	503587652	0.8217620697365641
SRX359382	2.6	12250324	2898440	12250324	624766524	555276	619150505	0.8988988340866996
SRX359383	2.6	12167077	2860619	12167077	620520927	594348	615115070	0.8711804493259259
SRX4105497	2.6	13566664	4192626	13566664	678333200	2372853	668923131	1.387234031888753
SRX4105498	2.6	18071214	5520303	18071214	903560700	3004699	892642696	1.2083309953609094
SRX4105499	2.6	12689107	3811215	12689107	634455350	2223659	626529936	1.2491681250697941
SRX4105500	2.6	28711730	9233342	28711730	1435586500	5054375	1416077546	1.3589535705441644
SRX4105501	2.6	12954330	3971675	12954330	647716500	2226257	639268358	1.3042962468919659
SRX4105502	2.6	20595775	6397589	20595775	1029788750	3463960	1015841143	1.3544143883879096
SRX4105503	2.6	20960679	6571690	20960679	1048033950	3457090	1033021160	1.4324717247947931
SRX4105504	2.6	18237617	5614174	18237617	911880850	3609581	899148459	1.3962779238098924
SRX4105505	2.6	14423625	4390152	14423625	721181250	2528681	711489916	1.34381391640451
SRX4105506	2.6	4950647	1900499	4950647	247532350	525110	221888156	10.359936388112503
SRX4105507	2.6	4384745	1719924	4384745	219237250	439658	193335193	11.814624111550387
SRX4105508	2.6	11279273	3637260	11279273	563963650	2015775	556089451	1.3962245616361977
SRX4105509	2.6	10788879	3295892	10788879	539443950	1866693	532699323	1.2502924539240825
SRX4105510	2.6	16270034	4929051	16270034	813501700	2850437	803341154	1.248988908074808
SRX4105511	2.6	3268961	340002	3268961	242840345	788703	241250105	0.6548500003160513
SRX4105512	2.6	4494136	387871	4494136	333181978	1604993	330877155	0.6917610051525657
SRX4105513	2.6	4078338	459582	4078338	302549057	388745	301495272	0.3483021928572727
